net,length_um
ram\[40\]\[4\],11.84
net418,11.84
ram\[29\]\[1\],11.83
ram\[22\]\[0\],11.82
_1520_,11.8
_0404_,11.785
_1212_,11.78
_1271_,11.78
_1311_,11.78
ram\[42\]\[3\],11.78
ram\[58\]\[7\],11.76
ram\[5\]\[4\],11.74
_1479_,11.72
_1026_,11.7
net448,11.7
q[6],11.69
ram\[31\]\[7\],11.68
ram\[53\]\[5\],11.68
_1314_,11.66
_1699_,11.66
ram\[18\]\[4\],11.66
_1187_,11.62
ram\[43\]\[4\],11.58
addr[4],11.56
ram\[1\]\[2\],11.54
ram\[33\]\[4\],11.54
ram\[37\]\[0\],11.54
_1393_,11.52
ram\[3\]\[0\],11.51
ram\[15\]\[1\],11.5
ram\[20\]\[7\],11.5
ram\[52\]\[3\],11.5
ram\[33\]\[0\],11.46
ram\[49\]\[3\],11.46
ram\[54\]\[7\],11.46
ram\[5\]\[7\],11.46
addr[3],11.44
data[0],11.44
data[1],11.44
ram\[3\]\[4\],11.42
ram\[42\]\[0\],11.42
ram\[42\]\[4\],11.42
ram\[42\]\[5\],11.42
ram\[4\]\[2\],11.42
ram\[17\]\[3\],11.38
ram\[56\]\[0\],11.38
_0685_,11.36
_1570_,11.36
ram\[27\]\[3\],11.36
ram\[54\]\[1\],11.36
net235,11.36
_1636_,11.32
ram\[57\]\[7\],11.32
ram\[8\]\[3\],11.32
_1450_,11.28
ram\[16\]\[0\],11.28
ram\[42\]\[2\],11.28
_0941_,11.24
_1001_,11.24
ram\[52\]\[5\],11.24
_0259_,11.205
ram\[34\]\[5\],11.205
ram\[51\]\[3\],11.2
ram\[61\]\[6\],11.2
ram\[6\]\[3\],11.2
ram\[34\]\[7\],11.19
_0776_,11.12
ram\[21\]\[7\],11.12
ram\[49\]\[6\],11.12
ram\[27\]\[1\],11.08
ram\[47\]\[2\],11.08
_0260_,11.065
ram\[46\]\[0\],11.065
_0881_,11.06
ram\[45\]\[1\],11.04
net463,11.04
ram\[30\]\[3\],11.005
_1016_,11
ram\[6\]\[7\],11
ram\[8\]\[0\],10.98
